8.311: [GC 101046K->101046K(101378K), 0.000386 secs]
8.332: [GC 101378K->101378K(101709K), 0.000378 secs]
8.352: [GC 101709K->101709K(102040K), 0.000391 secs]
8.377: [GC 102040K->102040K(102371K), 0.000711 secs]
8.418: [GC 102371K->102371K(102703K), 0.000697 secs]
8.450: [GC 102703K->102703K(103034K), 0.000484 secs]
8.470: [GC 103034K->103034K(103365K), 0.000399 secs]
8.491: [GC 103365K->103365K(103697K), 0.000505 secs]
8.512: [GC 103697K->103697K(104028K), 0.000390 secs]
8.545: [GC 104028K->104028K(104359K), 0.000763 secs]
8.586: [GC 104359K->104359K(104691K), 0.000486 secs]
8.610: [GC 104691K->104691K(105022K), 0.000390 secs]
8.630: [GC 105022K->105022K(105353K), 0.000393 secs]
8.653: [GC 105353K->105353K(105684K), 0.000497 secs]
8.678: [GC 105684K->105684K(106016K), 0.000683 secs]
8.720: [GC 106016K->106016K(106347K), 0.000737 secs]
8.749: [GC 106347K->106347K(106678K), 0.001169 secs]
8.771: [GC 106678K->106678K(107010K), 0.000392 secs]
8.792: [GC 107010K->107010K(107341K), 0.000378 secs]
8.813: [GC 107341K->107341K(107672K), 0.000427 secs]
8.855: [GC 107672K->107672K(108004K), 0.000671 secs]
8.892: [GC 108004K->108004K(108335K), 0.001510 secs]
8.914: [GC 108335K->108335K(108666K), 0.000389 secs]
8.936: [GC 108666K->108666K(108997K), 0.000450 secs]
8.957: [GC 108997K->108997K(109329K), 0.000377 secs]
8.996: [GC 109329K->109329K(109660K), 0.000684 secs]
9.032: [GC 109660K->109660K(109991K), 0.000476 secs]
9.053: [GC 109991K->109991K(110323K), 0.000419 secs]
9.074: [GC 110323K->110323K(110654K), 0.000386 secs]
9.095: [GC 110654K->110654K(110985K), 0.000439 secs]
9.133: [GC 110985K->110985K(111317K), 0.000678 secs]
9.173: [GC 111317K->111317K(111648K), 0.000459 secs]
9.196: [GC 111648K->111648K(111979K), 0.000465 secs]
9.217: [GC 111979K->111979K(112310K), 0.000392 secs]
9.237: [GC 112310K->112310K(112642K), 0.000379 secs]
9.258: [GC 112642K->112642K(112973K), 0.000386 secs]
9.289: [GC 112973K->112973K(113304K), 0.000661 secs]
9.329: [GC 113304K->113304K(113636K), 0.000453 secs]
9.352: [GC 113636K->113636K(113967K), 0.000390 secs]
9.372: [GC 113967K->113967K(114298K), 0.000404 secs]
9.393: [GC 114298K->114298K(114630K), 0.000407 secs]
9.414: [GC 114630K->114630K(114961K), 0.000389 secs]
9.434: [GC 114961K->114961K(115292K), 0.000396 secs]
9.455: [GC 115292K->115292K(115623K), 0.000407 secs]
9.479: [GC 115623K->115623K(115955K), 0.000660 secs]
9.520: [GC 115955K->115955K(116286K), 0.000668 secs]
9.548: [GC 116286K->116286K(116617K), 0.000400 secs]
9.568: [GC 116617K->116617K(116949K), 0.000390 secs]
9.589: [GC 116949K->116949K(117280K), 0.000389 secs]
9.609: [GC 117280K->117280K(117611K), 0.000381 secs]
9.630: [GC 117611K->117611K(117943K), 0.000390 secs]
9.650: [GC 117943K->117943K(118274K), 0.000386 secs]
9.671: [GC 118274K->118274K(118605K), 0.000432 secs]
9.700: [GC 118605K->118605K(118936K), 0.000660 secs]
9.743: [GC 118936K->118936K(119268K), 0.000662 secs]
9.767: [GC 119268K->119268K(119599K), 0.000389 secs]
9.789: [GC 119599K->119599K(119930K), 0.000386 secs]
9.811: [GC 119930K->119930K(120262K), 0.000415 secs]
9.833: [GC 120262K->120262K(120593K), 0.000388 secs]
9.855: [GC 120593K->120593K(120924K), 0.000386 secs]
9.876: [GC 120924K->120924K(121256K), 0.000389 secs]
9.898: [GC 121256K->121256K(121587K), 0.000388 secs]
9.941: [GC 121587K->121587K(121918K), 0.000701 secs]
9.976: [GC 121918K->121918K(122249K), 0.000477 secs]
10.007: [GC 122249K->122249K(122581K), 0.000409 secs]
10.029: [GC 122581K->122581K(122912K), 0.000374 secs]
10.049: [GC 122912K->122912K(123243K), 0.000394 secs]
10.068: [GC 123243K->123243K(123575K), 0.000417 secs]
10.088: [GC 123575K->123575K(123906K), 0.000403 secs]
